"grant_id","year","oecd_short","is_ds","duration_years"
"NNF24OC0090770",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090777",2024,"Natural Sciences",FALSE,1.492128678987
"NNF24OC0090790",2024,"Engineering & Tech",FALSE,0.996577686516085
"NNF24OC0090796",2024,"Engineering & Tech",FALSE,3.98904859685147
"NNF24OC0090798",2024,"Natural Sciences",FALSE,1.9958932238193
"NNF24OC0090815",2024,"Engineering & Tech",FALSE,0.996577686516085
"NNF24OC0090839",2024,"Health",FALSE,2.99520876112252
"NNF24OC0090844",2024,"Natural Sciences",TRUE,1.58247775496235
"NNF24OC0090856",2024,"Health",TRUE,0.996577686516085
"NNF24OC0090894",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090977",2024,"Health",TRUE,2.99520876112252
"NNF24OC0091082",2024,"Engineering & Tech",FALSE,3.49623545516769
"NNF24OC0091092",2024,"Agriculture & Vet",FALSE,3.99726214921287
"NNF24OC0091122",2024,"Health",FALSE,2.99520876112252
"NNF24OC0091327",2024,"Health",FALSE,0.676249144421629
"NNF24OC0091339",2024,"Natural Sciences",FALSE,3.99726214921287
"NNF24OC0091424",2024,"Natural Sciences",FALSE,0.996577686516085
"NNF24OC0091432",2024,"Natural Sciences",FALSE,1.20739219712526
"NNF24OC0091438",2024,"Natural Sciences",TRUE,0.996577686516085
"NNF24OC0091439",2024,"Health",FALSE,0.492813141683778
"NNF24OC0091446",2024,"Health",TRUE,0.0027378507871321
"NNF24OC0091466",2024,"Natural Sciences",FALSE,0.290212183436003
"NNF24OC0091467",2024,"Health",TRUE,0.0054757015742642
"NNF24OC0091477",2024,"Humanities",TRUE,0.487337440109514
"NNF24OC0091501",2024,"Health",FALSE,0.0109514031485284
"NNF24OC0091523",2024,"Humanities",FALSE,0.49555099247091
"NNF24OC0091530",2024,"Health",FALSE,0.829568788501027
"NNF24OC0091535",2024,"Health",FALSE,2.99520876112252
"NNF24OC0091614",2024,"Health",FALSE,1.9958932238193
"NNF24OC0091651",2024,"Health",FALSE,2.99520876112252
"NNF24OC0091683",2024,"Health",FALSE,2.99794661190965
"NNF24OC0091713",2024,"Health",FALSE,3.74264202600958
"NNF24OC0091734",2024,"Other",TRUE,3.99726214921287
"NNF24OC0091871",2024,"Health",FALSE,0.996577686516085
"NNF24OC0091873",2024,"Other",FALSE,3.99726214921287
"NNF24OC0091910",2024,"Health",FALSE,2.99520876112252
"NNF24OC0091917",2024,"Health",FALSE,0.996577686516085
"NNF24OC0091956",2024,"Health",FALSE,1.9958932238193
"NNF24OC0091957",2024,"Health",FALSE,2.99520876112252
"NNF24OC0091975",2024,"Health",FALSE,4.99657768651609
"NNF24OC0092008",2024,"Agriculture & Vet",FALSE,2.99520876112252
"NNF24OC0092051",2024,"Health",FALSE,3.24709103353867
"NNF24OC0092100",2024,"Health",FALSE,2.99520876112252
"NNF24OC0092120",2024,"Health",FALSE,0.996577686516085
"NNF24OC0092161",2024,"Health",FALSE,4.16427104722793
"NNF24OC0092181",2024,"Health",FALSE,0.996577686516085
"NNF24OC0092222",2024,"Health",FALSE,2.99520876112252
"NNF24OC0092232",2024,"Health",FALSE,2.99520876112252
"NNF24OC0092244",2024,"Health",FALSE,0.996577686516085
