"Year","Title","Domain","Instrument","Institution","Amount (mDKK)","Abstract"
2024,"ENSAFE: ENvironmental SAFEty of biotechnological plant protection products based on short interfering RNA and peptides","Agriculture & Vet","Programmes and collaborations","KU University of Copenhagen",60,"Facing an expected increase in food demand and with limited land available, minimizing crop loss is pivotal for ensuring food security. Chemical pesticides have been the primary tools to limit yield losses, however, their use is associated with adverse effects on the environment. Biotechnological..."
2024,"Disentangling the effect of Brain Insulin Resistance on Brain Health: The BIR-BrainHealth Project","Health","Programmes and collaborations","Capital Region of Denmark",59.67,"Individuals with diabetes face an elevated risk of cognitive impairment and dementia. To mitigate these risks, it is crucial to unravel the explanations and comprehend the underlying mechanisms involved. Existing research highlights that insulin sensitivity, vital not only in muscle and liver but..."
2024,"Tenure Track Assistant Professor - Amartya Sanyal","Natural Sciences","Investigators","KU University of Copenhagen",4,"Amartya Sanyal is an early-stage researcher who has delved into the nuanced areas of trustworthy machine learning, particularly in adversarial contexts, e.g. the challenges posed by adversarial settings (incl. preserving privacy), addressing concerns such as robustness against adversarial perturb..."
2024,"MIT - Integrating AI, Physics, and Microscopy to Uncover the Structure and Function of the Genome","Health","Fellowships","KU University of Copenhagen",4,"This project merges artificial intelligence, physics, and cutting-edge microscopy to investigate genome structure and its function in living cells. The genome structure regulates gene expression which is required to maintain life and its dysregulation causes diseases such as cancer and neurodevel..."
2024,"The Historical Medical Birth Register - a nationwide research infrastructure","Health","Infrastructure","Capital Region of Denmark",19.36,"The aim of this visionary project is to create a Historical Medical Birth Register by digitizing original paper midwife records and birth reports for the entire Danish population born from 1926-1973. It will use innovative artificial intelligence text recognition to convert handwritten records on..."
2024,"BioGLUE: Unified Danish ELIXIR Infrastructure for Seamless Data and Tool Interoperability","Health","Infrastructure","KU University of Copenhagen",14.7,"The BioGLUE project is tackling a common challenge in bioinformatics – the time-consuming task of gluing together different computational tools and data formats. Instead of manual effort, the aim of BioGLUE is to create a digital infrastructure that automatically generates the small computer prog..."
2024,"MIT - General Data Physics Coupling Pipeline for Next-generation Battery Modeling and Monitoring to Enhance Human Health and Sustainability","Natural Sciences","Fellowships","AAU Aalborg University",4,"Batteries have become ubiquitous energy storage devices in various aspects of human daily life, which contributes significantly to enhancing sustainability and convenience in modern living. This project investigates next-generation battery management with artificial intelligence and physics for h..."
2024,"Naturally Smart: Sustainable Food using Artificial Intelligence (AI4NaturalFood)","Agriculture & Vet","Investigators","KU University of Copenhagen",50,"Eating plant food instead of animal food helps the environment and our health. But to make the plant based foods we love, such as meat replacers, plant based dairy, margarine and mayonnaise, we need to strongly refine the plant ingredients. This costs a lot of water and energy, and creates a lot ..."
2024,"Integrating electrocardiogram and other prehospital diagnostics to improve patient outcomes","Health","Investigators","North Denmark Region",9.97,"The electrocardiogram (ECG), a low-cost and readily available test of the heart’s electrical system, holds promise to improve detection of critical conditions in the prehospital setting to improve outcomes. We propose a shift to a broader inclusion of ECG abnormalities, symptoms, and vital signs ..."
2024,"SDU Bioimaging Core Facility Upgrade","Engineering & Tech","Infrastructure","SDU University of Southern Denmark",2.96,"This application seeks funding for the Danish Molecular Biomedical Imaging Centre (DaMBIC) at the University of Southern Denmark (SDU) to sustain and enhance its bioimaging infrastructure. As a core facility, DaMBIC supports over 200 researchers across various faculties and collaborates with Dani..."
2024,"Physics-Motivated Machine Learning with multi-scale sensing and distributed sensor networks","Natural Sciences","Investigators","DTU Technical University of Denmark",35,"This proposal will establish an international research laboratory at DTU focusing on machine learning and signal processing for physical applications lead by Distinguished Professor Peter Gerstoft from University of California San Diego.   A sensor network is a collection of spatially located sen..."
2024,"MIT - CaMMI: identifying Causality in clinical Multi-modal models through Mechanistic Interpretability","Natural Sciences","Fellowships","DTU Technical University of Denmark",2.73,"In this project, I aim to make artificial intelligence in healthcare more interpretable. Currently, advanced machine learning models designed for healthcare can predict for example patient outcomes for a given disease, but often work like ""black boxes"". If we do not know how they reach their conc..."
2024,"New digital lab to mitigate plant disease pandemics","Agriculture & Vet","Investigators","AU Aarhus University",10,"Infectious crop diseases cause substantial yield losses and epidemic outbreaks that threaten global food security. Disease management is complex because pathogens can be transmitted by wind or human activities over extremely long distances (landscapes, regions, continents). The complexity of long..."
2024,"Stanford Bio-X - Decoding the Proteomic Secrets of Dopamine D2 Receptor Gene Variants","Health","Fellowships","KU University of Copenhagen",4,"We all are different, and so are the target points of drugs in our bodies. Dive into our pioneering research on the dopamine D2 receptor, a crucial element in the brain's network linked to neurological and metabolic disorders. Our innovative project seeks to decode the genetic variations of D2, h..."
2024,"Decoding faba bean yield stability: From in-field image data to mechanistic models (DIGIFABA)","Natural Sciences","Programmes and collaborations","KU University of Copenhagen",17.98,"The DIGIFABA project is addressing the critical need for sustainability and climate resilience in agriculture. The primary goal is to increase the cultivation of faba beans—a crucial grain legume—by leveraging state-of-the-art digital technologies thereby improving breeding programs. This will pa..."
2024,"Deep Immune Receptor Modeling (DIRM)","Natural Sciences","Programmes and collaborations","DTU Technical University of Denmark",17.99,"This project will increase our understanding of the immune system through development of tailored, cutting-edge deep machine learning methods and rational data generation for characterizing immune receptor interactions.  Immune receptors are a critical component of the immune system's shield agai..."
2024,"Machine learning generation of protein structural ensembles with cryo-electron microscopy data","Natural Sciences","Projects","KU University of Copenhagen",0.6,"This sabbatical project at the University of Copenhagen aims to enhance our comprehension of protein structure and dynamics, which are vital for biological processes. By integrating cutting-edge artificial intelligence methods with experimental data from cryo-electron microscopy, we will develop ..."
2024,"Programming Language and Compiler Technology for Accelerating Quantum Simulations, Computer-Algebra and Bioinformatics Algorithms","Natural Sciences","Projects","KU University of Copenhagen",1,"In simple words, my current research focuses on how to easily write parallel programs that run fast on modern highly-parallel hardware, such as graphics processing units (GPU). During my sabbatical, I plan to collaborate with famous researchers from three prestigious research institutions, as fol..."
2024,"Identify the critical genes associated with intellectual disability by analyzing brain organoid data","Health","Projects","SDU University of Southern Denmark",1,"People suffering from intellectual disability have differing degrees of difficulties in daily life. Currently there is no cure for intellectual disability, but it is known that it can be partially caused by genetics. In this project, I, as a statistician will work closely with Prof. Katja Nowick’..."
2024,"PathogenWatch – Enabling early plant pathogen diagnostics and precision pest management through novel microfluidic imaging technology","Agriculture & Vet","Investigators","Lund University",6,"Healthy soils lay the foundation for the world’s food production, but today soil health is at risk due to unsustainable agriculture practices such as the use of toxic pesticides. At the same time, we still lose 20-40% of our total yields due to plant diseases. Agriculture needs new methods to pro..."
2024,"Associate Professor - Marek Mutwil","Agriculture & Vet","Investigators","KU University of Copenhagen",5,"Associate Professor Marek Mutwil aligns with PLEN's increased focus on quantitative biology. With 12 years of experience as a group leader, first at the Max Planck Institute of Molecular Plant Biology and then at Nanyang Technological University, his expertise in computational biology will bolste..."
2024,"Harnessing big data to unravel the impact of climate change on global phenological shifts","Natural Sciences","Projects","SDU University of Southern Denmark",1,"With this sabbatical, I will start a research initiative aiming to understanding the impact of climate change on the timing of natural events, such as plant flowering and animal migrations. This phenomenon, known as phenology, is critical for the synchronisation of species interactions in ecosyst..."
2024,"Smart glucose responsive insulin with cleavable thiazolidine linker: in vivo studies","Health","Projects","KU University of Copenhagen",1,"Treatment of type 1 diabetes (T1D) has significantly progressed in the past 40 years, but all approved insulins function in the same manner, they lower the blood glucose whether the patient needs it or not. Thus, the daily self-administration of insulins remains a challenging for many diabetics a..."
2024,"Learning Anatomical Correspondence","Health","Projects","KU University of Copenhagen",0.66,"What is the shape of your knee or your hip, and is this shape problematic? The Learning Anatomical Correspondence will develop methods for making fine-scale shape models of the anatomical structures such that we can link the shape to the clinical observations. This will allow us to answers questi..."
2024,"Protein engineering and design: from development to impact","Natural Sciences","Symposia and conferences","KU University of Copenhagen",0.36,"Recent developments in machine learning have paved the way for a quantum leap in the development of new proteins and enzymes for practical applications. While we can see contours of what is possible in the future, the real potential of the technology remains to be uncovered. Thus, we are at a cro..."
2024,"Symposium on Artificial Intelligence and Pharmacology – Present and Future","Health","Symposia and conferences","Capital Region of Denmark",0.18,"Artificial intelligence (AI) is being applied to pharmacology with the potential to improve drug discovery, refine treatment plans tailored to individual patients, and to ensure that medications are safe and effective. Understanding and applying this new technology requires unprecedented collabor..."
2024,"Workshop in Generative artificial intelligence in neuroscience research: Statistical modeling, machine learning, and large language models","Health","Symposia and conferences","AU Aarhus University",0.17,"Artificial Intelligence (AI) could revolutionize brain research by opening new strategies for investigation of the brain. User-friendly interfaces are now making AI more accessible to scientists, potentially transforming data analysis and aiding treatment decisions in the clinic. AI is therefore ..."
2024,"Digital Prisms: Exploring Nordic Women Artists (1870-1910) Through the Lens of AI","Humanities","Symposia and conferences","KUM Ministry of Culture - Archives, Museums, and Royal Library Denmark",0.44,"The Digital Prisms seminar, set for August 2024, offers an exploration into how artificial intelligence (AI) can reshape our understanding of art history, particularly through the lens of 19th-century Nordic women artists. By blending art historical perspectives with investigations into AI techno..."
2024,"Rotary Motors in the Membrane: Understanding Nature to Improve Design","Other","Programmes and collaborations","KU University of Copenhagen",15,"Much like macroscopic technology, life depends on molecular machines that transform or use energy. So far two families of natural rotary motors have been discovered in the membranes of living cells, where they generate energy or motion. Recent atomic-level structures have provided fundamental new..."
2024,"CHEeTAh: CHallenges of Evaluating Teams and Algorithms","Natural Sciences","Investigators","ITU IT University of Copenhagen",10.98,"Machine learning (ML) competitions aim to improve healthcare algorithms, like detecting lung cancer in chest x-rays. Teams worldwide compete to develop such algorithms, driven by prizes or prestige. Competitions encourage innovation but often produce similar algorithms that excel in one accuracy ..."
2024,"LM2-SEC: Linguistically Motivated Language Model Security","Natural Sciences","Investigators","AAU Aalborg University",9.9,"Imagine a world where generative AI (gAI) exists free from any concerns for safety, security, privacy, trustworthiness, misinformation, or bias. We are far from this vision today, where negative consequences from gAI, such as deepfakes, are ever present in the news cycle. A new threat to gAI has ..."
2024,"Associate Professor in Systems Biology of Cells for Biopharma Manufacturing (Hooman Hefzi)","Natural Sciences","Investigators","DTU Technical University of Denmark",3.5,"Many life-saving medicines, such as monoclonal antibodies and gene therapies are produced in mammalian cells. While efficacious, their complexity makes their production a time, labor, and cost intensive process. Advances in the last decade have dramatically eased the process of genetic engineerin..."
2024,"MorphAI: Data Science and Generative Models of Morphology","Natural Sciences","Investigators","KU University of Copenhagen",10.66,"The project aims to develop data science and AI methodology needed for analysis of the shape and form or animals, organs, and plants - their morphology. Morphology has traditionally been important features in studies in fields ranging from biology over health science to plant science, but it is h..."
2024,"Professor in Landscape Biogeochemistry, Claire C. Treat - Assessing the spatio-temporal variability of greenhouse gas emissions","Natural Sciences","Investigators","AU Aarhus University",8,"To keep global warming below 2°C, it is essential to reduce greenhouse gas emissions, especially CO2, methane (CH4) and nitrous oxide (N2O). Agricultural lands and drained/natural wetlands are major sources, with emissions varying widely in time and space, often concentrated in 'hot spots' and 'h..."
2024,"Development and application of generative AI models for ctDNA detection and characterization","Natural Sciences","Investigators","AU Aarhus University",11,"Kræftknuder frigiver små mængder fragmenteret DNA til blodbanen, hvor det blandes med DNA fra raske celler. Dette cirkulerende frie DNA (cfDNA) kan tilgås med en blodprøve. Moderne sekventeringsteknikker kan kortlægge disse cfDNA-fragmenter i store datasæt. Ved at udvikle teknikker til at detekte..."
2024,"Colorectal OmiCs and Oncofetal chondroitin sulfate-modified proteoglycans (COCO)","Health","Projects","Capital Region of Denmark",3.48,"Investigating a new diagnostic method based on the recombinant malaria protein (rVAR2) represents a significant advancement in clinical practice. rVAR2 binds to specific tumor markers prevalent in cancer tissue, fetuses, and placentas but absent in other healthy tissues. A pilot study demonstrate..."
2024,"Responsibly Uncertain: Quantifying the Robustness of Responsible AI in the Face of Uncertainty (RespUncible)","Natural Sciences","Investigators","DTU Technical University of Denmark",11,"The upcoming AI act will likely lead to widespread use of trustworthy AI methods such as explainability and algorithmic fairness. Such methods are crucial to ensure that AI is implemented responsibly and safely into increasingly critical societal functions, such as medical imaging. Nevertheless, ..."
2024,"Uncovering Climate Change Impacts on Arbovirus Transmission Dynamics at the Intersection of Phylodynamics, Ecological Modelling and Machine Learning","Health","Projects","Stellenbosch University",6.58,"Half of known pathogens could be amplified by climate change. Diseases most affected are predicted to be arboviruses (dengue, chikungunya, yellow fever and Zika) which have caused large epidemics in Latin America and Asia over the last few decades, and increasingly large outbreaks in Africa and E..."
2024,"Broad call in computer science at AU, hiring Tenure Track Assistant Professor Andrea Paudice: ""Actionable Performance Guarantees in Machine Learning""","Natural Sciences","Investigators","AU Aarhus University",3,"Andrea Paudice joins the Department of Computer Science at Aarhus University on Sept. 15th, 2024 at as a Tenure-Track assistant professor. His area of research and teaching is machine learning theory. Paudice's research addreeses the problem, that most theoretical performance guarantees accompany..."
2024,"AIMPACT: AI-Powered Optimization of Empiric Therapy to Combat Antimicrobial Resistance","Health","Projects","Wits Health Consortium",6.99,"Antimicrobial resistance (AMR) is a serious global health issue that needs a team effort to tackle. We aim to better understand AMR's impact through careful monitoring and quick, cost-effective tests to help doctors make the best treatment choices. This project brings together experts in clinical..."
2024,"DASME - Data Science in Mathematics Education","Social Sciences","Projects","KU University of Copenhagen",6,"N/A"
2024,"Fungal cell factories for production of natural and engineered blue colorants (FunBlues)","Engineering & Tech","Projects","DTU Technical University of Denmark",4.4,"Colorants are used worldwide in the textile, plastics, food, and cosmetics industries. Unfortunately, the market is dominated by synthetic compounds produced from petrochemicals, creating large amounts of toxic waste. FunBlues aims to remedy this by constructing microbial cell factories in domest..."
2024,"Improving heterologous cytochrome P450-dependent biosynthetic pathways for the production of hernandulcin.","Engineering & Tech","Fellowships","DTU Technical University of Denmark",3,"Consuming too much sugar is known to cause health problems, including diabetes, cardiovascular issues, and many other problems. However, we have discovered how to produce the new natural sugar-substitute hernandulcin, which is 1000 times sweeter than sugar, using yeast. However, the yeast is only..."
2024,"USING TRANSFORMER-BASED DEEP LEARNING ON EPIGENETIC MARKERS TO BUILD TOMORROWS COMPLEX BIOMARKERS FOR SURGICAL FRAILTY","Health","Projects","Capital Region of Denmark",1.07,"Currently, upwards of 10-15% of patients undergoing surgery, are struck by some form of complication. This can be in the form of infections, blood clots, organ failure or even death. The individual risk profile of a patients is extremely difficult to assess, in part because there are no biomarker..."
