"Year","Title","Domain","Instrument","Institution","Amount (mDKK)","Abstract"
2023,"Data-driven improvement of health and socioeconomic outcomes in Danish children and adolescents with severe and chronic disease","Health","Projects","Capital Region of Denmark",5.99,"Danish children and adolescents with severe, and chronic disease usually have long and challenging disease courses both within, and outside our health care system.  Inside the health care system, there may be lack of coordination and coherence leaving it up to the patients and families to plan an..."
2023,"Unraveling shared disease mechanisms of ADHD and obesity by large-scale multidimensional data analyses","Natural Sciences","Programmes and collaborations","AU Aarhus University",11.8,"Attention deficit hyperactivity disorder (ADHD) is a childhood psychiatric disorder which affects around 5% of children and 2.5% of adults and is associated with increased risk of obesity. Here we aim to identify biological disease mechanisms shared across ADHD and obesity, and impulsive behavior..."
2023,"Copenhagen Gut Microbiome Symposium","Health","Symposia and conferences","KU University of Copenhagen",0.11,"During the last 2 decades it has become evident the human gut microbiome (GM) play a central role in health and disease. By its nature, GM-focused investigations are multidisciplinary efforts involving different scientific techniques such as microbiology, immunology, nutrition, and data science. ..."
2023,"Molecular Mechanisms Linking Obesity to Type 2 Diabetes in Males and Females","Health","Projects","Uppsala University",0.98,"Obesity is a major health threat and the leading risk factor for diabetes. Fat distribution varies among individuals, and two obese people can have different risks of diabetes. Men store more fat in the abdomen and have higher disease incidence and shorter lifespans compared to women. My research..."
2023,"Early detection of epidemics in livestock and wildlife using deep learning","Natural Sciences","Investigators","KU University of Copenhagen",10.89,"Identifying infected animals as early as possible allows us to minimise the spread of a pathogen and even prevent a pandemic. At the moment, we can only make sure that an animal is infected by costly laboratory analysis. This is problematic for livestock and wildlife given the limited funds that ..."
2023,"Data-adaptive targeted machine learning methods for analyzing dynamic treatment effects in observational healthcare data","Natural Sciences","Investigators","KU University of Copenhagen",6.69,"This research project aims to develop, extend and implement advanced statistical methods integrating machine learning techniques to enhance the reliability and accuracy of medical decision-making for patients, clinicians, and drug developers. One of the key challenges faced in medical research, w..."
2023,"Mass Spectrometry and Artificial Intelligence-Driven Tools for Enhanced Diagnostics of Hereditary Anemias","Health","Projects","Capital Region of Denmark",1.97,"Hereditary anemias are the most common group of genetic diseases worldwide. They affect hundreds of thousands of children born every year, many of whom will die in early childhood. These diseases pose a huge economic and social burden for many countries and necessitate preventive screening progra..."
2023,"AI-volution in agroecosystems: exploring pest adaptation to “smart” vision-based crop protection","Agriculture & Vet","Fellowships","KU University of Copenhagen",2.4,"Sustainably transforming the way, we feed our growing population is crucial, but we must tackle challenges like weeds, which reduce crop yield and need pesticides. So, what if we could use camera vision and artificial intelligence (AI) to recognize weeds and control them individually with friendl..."
2023,"APEX - Artificial Intelligence for Policy Excellence in the Climate Crisis","Natural Sciences","Investigators","DTU Technical University of Denmark",11,"As the climate continues to impact our world, policymakers need advanced tools to navigate the intricate challenges and uncertainties that arise. While existing tools are detailed, they frequently fall short, largely because of their narrow focus or broad generalizations. The APEX project seeks t..."
2023,"Closing the algal growth-rate gap: just how many gene changes does it take?","Agriculture & Vet","Projects","Uppsala University",3,"Innovative solutions to improve plant growth are urgently needed to meet future human needs. One promising way to meet this challenge is to improve the metabolism of photosynthetic organisms, resulting in higher growth rates and yields. Using metabolic modelling and machine learning, we will infe..."
2023,"Sex differences in inflammation and heart failure – a genomic/multiomic translational recall study","Health","Projects","Capital Region of Denmark",2.83,"Biomedical science has historically mainly operated with a unisex model, generating a knowledge gap, that critically challenges tailored care. The project will improve our understanding of the links between sex, inflammation and heart failure in sub-studies utilizing existing genomic, biomarker a..."
2023,"New computational approaches for understanding the emergence of social network structures","Natural Sciences","Investigators","KU University of Copenhagen",8.54,"  Social networks describe who is socially connected to who in a population. For example, the pattern of of friendships in a school class can be described as a social network, which can be studied scientifically. Social networks play an important role in the lives of both humans and animals. They..."
2023,"Inter-organ correlations of glucose uptake, measured using dynamic Total-Body Positron Emission Tomography, reveal disease-specific metabolic patterns","Health","Projects","Central Denmark Region",3,"The human body maintains a stable condition when all its organs interact and work in harmony. Disturbances in this network of organ interactions can lead to chronic diseases such as diabetes. We will use images of the glucose uptake, measured by dynamic Positron Emission Tomography scanning to de..."
2023,"Tenure Track Assistant Professor - Søren Bertelsen Scott","Natural Sciences","Investigators","KU University of Copenhagen",3.99,"Soren B. Scott is a rising scientist in the field of electrocatalysis. He has diverse international experience spanning work environments from top universities through national laboratories to large and small companies. He is a leading expert in chip-based electrochemistry – mass spectrometry, a ..."
2023,"AI-driven design of hierarchical food structures","Agriculture & Vet","Fellowships","SDU University of Southern Denmark",2.5,"High meat consumption is associated with problems related to sustainability, zoonotic diseases and animal welfare. Meat analogues, with high similarity to texture and taste of meat, can help consumers to lower their meat intake. But there is a challenge: replicating meat's hierarchical, fibrous s..."
2023,"Unraveling Immunosenescence from Single Cell and Spatial data","Natural Sciences","Investigators","AU Aarhus University",10.15,"The aim of this project is to unravel the mysteries of how our immune system changes as we age and how these changes influence our overall health. Using cutting-edge technology, we will delve into the intricacies of individual cells from thousands of people, with a particular focus on understandi..."
2023,"microTEXTURE: Unlocking the Secrets of Plant-Based Textures through Investigations at Multiple Length Scales","Agriculture & Vet","Projects","KU University of Copenhagen",3,"MicroTEXTURE is centered on moving forward the development of sustainable cheese alternatives derived from plant sources currently hindered by inferior textural attributes. The objective is to elucidate the complex microstructural dynamics of plant-based milk alternatives during their transformat..."
2023,"Collective oscillation analogues between locomotive neuronal ensembles and crystals of ultra-cold atoms","Natural Sciences","Programmes and collaborations","KU University of Copenhagen",4.99,"In the brain and nervous system neurons are connected in large networks that allow us to control our bodies and thoughts. While some types of control lead to conscious and isolated movements and actions others can lead to behavior patterns such as control of walking rhythms. The latter is thought..."
2023,"Design and characterisation of novel T-cell-receptor-like minibinders","Health","Projects","DTU Technical University of Denmark",3," T cells are important cells of the immune system responsible for killing cancer cells and infected cells. T cells depend on T cell receptors that bind molecules on target cells that function as cell-footprints. T cell receptors can recognise many footprints thereby providing protecting against m..."
2023,"Measuring the reliability of trustworthy AI","Natural Sciences","Projects","DTU Technical University of Denmark",3,"Trustworthy artificial intelligence (AI) aims to make AI more safe through increased transparency and fairness. We aim to demonstrate a daunting hypothesis: In settings where the predicted target labels are demographically biased, standard trustworthy AI algorithms no longer deliver on their prom..."
2023,"European RosettaCon 2024: knowledge transfer for modern protein modelling and design","Natural Sciences","Symposia and conferences","KU University of Copenhagen",0.39,"Proteins are foundational building blocks of cells and form molecular machines that carry out most of the processes in our bodies, but can also be engineered in biotechnological applications to make expensive syntheses affordable, and to generate enzymes and microbes for the green transition. The..."
2023,"Tenure-Track Assistant Professor in Materials Chemistry, Kasper Tolborg","Engineering & Tech","Investigators","AAU Aalborg University",3.42,"Modern challenges in energy, sustainability and biomedicine rely on development of novel materials. Computational chemistry has demonstrated its potential to accelerate the design, discovery and understanding of functional materials. Traditionally, effects of temperature and disorder are neglecte..."
2023,"A new perspective on surgical safety with focus on data-driven surgery, learning possibilities and international collaboration","Health","Symposia and conferences","Capital Region of Denmark",0.19,"Join us at the Data-Driven Surgical Safety Conference! Our mission is to revolutionize surgery by leveraging data, machine learning, and real-time patient information. This event fosters knowledge exchange, networking, and the growth of data-driven surgery in Europe. By harnessing extensive datas..."
2023,"Tenure track Sheng Wang - Digital Twin for Climate-smart Agriculture","Agriculture & Vet","Investigators","AU Aarhus University",3.98,"Nitrogen (N) is an essential nutrient for crop growth. However, inappropriate high rates and timing of N fertilizer leads to greenhouse gas (GHG) emissions and water pollution due to N leaching. This project aims to improve precision N management for Danish wheat cropping systems to maximize crop..."
2023,"2024 European Seminar on Computational Methods in Quantum Chemistry (ESCMQC-2024)","Natural Sciences","Symposia and conferences","DTU Technical University of Denmark",0.25,"The 2024 European Seminar on Computational Methods in Quantum Chemistry (ESCMQC-2024) will see a unique line-up of young (45-year age limit), leading researchers and scientists from both academia and industry meet up at the Royal Danish Academy of Sciences and Letters in central Copenhagen to dis..."
2023,"International workshop on the Theoretical Foundations and Applications of Topology in Machine Learning with Extensions to Image Processing","Natural Sciences","Symposia and conferences","KU University of Copenhagen",0.16,"The workshop will delve into the confluence of topology, machine learning, and image analysis, fostering an intimate setting for knowledge exchange. Our eminent speakers span the globe, bringing expertise in quantum topology, applied mathematics, and computational biology, ensuring a comprehensiv..."
2022,"Recovery of extracellular polymers from wastewater treatment residuals as a new circular biopolymer (REThiNk)","Engineering & Tech","Programmes and collaborations","AAU Aalborg University",54.83,"Activated sludge is the most widely used biological treatment process for wastewater, and it produces >10% of all biowaste in the western world. We present a new strategy for turning these biosolids into valuable biopolymers via extraction of extracellular polymeric substances (EPS) that are secr..."
2022,"Data Management, Algorithms, & Machine Learning for Emerging Problems in Large Networks–with Interdisciplinary Applications in Life & Health Sciences","Other","Investigators","AAU Aalborg University",10,"We shall develop a user‐in‐the‐loop graph engine with 4 key features. 1. The engine can represent massive data in a data lake as a complex network—knowledge graph, higher-order network, or multi-layer network. The engine will understand, summarize, and visualize the graph data and underlying rela..."
2022,"Protein Structure at Nano-Surfaces – ProSurf","Engineering & Tech","Investigators","AU Aarhus University",10,"Proteins are the machinery of life. They make skin, organs, teeth and bone, provide us with energy and defend us against pathogens. The shape of a protein allows scientists to understand how it works and what it does. For this reason, more than 100.000 measured protein structures are available in..."
2022,"Artificial intelligence-driven 3D image analysis and radiomics for high quality personalized cardiovascular risk assessment - The ARTICHOKE STUDY","Health","Programmes and collaborations","Capital Region of Denmark",9.34,"Cardiovascular disease is one of most common health issues encountered in Denmark and worldwide. Having a stroke or heart attack is invalidating and has large personal consequences and the cost of care and hospitalization are very large. Furthermore, stroke and heart attacks are unpredictable and..."
2022,"ALFADIAB - Algorithmic Fairness in Diabetes Prediction","Natural Sciences","Investigators","KU University of Copenhagen",10,"The vision of ALFADIAB is a society where access to healthcare and quality of care does not depend on ethnicity, race, or wealth. Even in Denmark, with its universal healthcare system, this is not yet a reality, and minorities with diabetes, and those who are the poorest, are affected more than o..."
2022,"Dr. Olivier Jolliet, Full Professorship in Quantitative Sustainability Assessment – Digitalized Platform for Sustainable and Healthy Lifestyles","Other","Investigators","DTU Technical University of Denmark",7,"Dr Jolliet's professorship aims to set lifestyles on a healthy and sustainable trajectory. The project will create a digitalized platform to systematically explore for the first time how lifestyles affect both our health and the environment. It will integrate: - The exceptional Danish Big Dataset..."
2022,"Tenure-Track Assistant Professor-Frederik van der Bom","Agriculture & Vet","Investigators","KU University of Copenhagen",4,"Frederik van der Bom’s expertise is in sustainable cropping systems and efficient use of scarce resources. At the University of Copenhagen, he will translate detailed, basic understanding of plant and soil processes into new ways to promote the sustainability and green transition of agriculture, ..."
2022,"Health Care Seeking Exploration and Intelligent Morphology Recognition to Obtain Coherent Patient Trajectory in Men with Genital Lesions (HESMEGLE)","Health","Projects","AU Aarhus University",6,"In this project we wish to understand how men with wounds, rashes, spots, and tumors on the penis and scrotum experience these, react to them and reach out for help in the medical system. We explore their understanding and views on the different steps in diagnosis, treatment and referral when the..."
2022,"Taming Cations in Natural Product Synthesis: Methods and Mechanisms","Natural Sciences","Investigators","KU University of Copenhagen",13.65,"The selective chemistry on biomolecules is central for health sciences. Nature has developed enzymes for this task through evolution. When new variations are needed, chemical synthesis is required and can become a bottleneck as selective reactions on complex biomolecules is complicated and tediou..."
2022,"DEVELOP: Using data science to estimate overdiagnosis and mortality reduction in cancer screening programs","Natural Sciences","Investigators","Region of Southern Denmark",8.89,"The purpose of this project is to improve existing analytical tools used to estimate the major benefits and harms of cancer screening.  Researchers are globally striving to produce reliable estimates on the major benefits and harms of cancer screening and to agree upon which methods that produce ..."
2022,"Bayesian neural networks for molecular discovery","Natural Sciences","Investigators","DTU Technical University of Denmark",9.7,"If we could design and create new molecules and materials with specific tailored properties, it could lead to huge progress in medicine, solar cells, catalysts, and many other scientific areas. But determining which compounds have the properties we desire is not easy. Quantum mechanical computati..."
2022,"Integration of longitudinal multimodal data in clinical risk prediction using deep learning","Natural Sciences","Investigators","Steno Diabetes Centers",9.07,"Artificial intelligence enables computer programs to execute human-like tasks like image and speech recognition, text translation, and more. These applications are based on deep learning, a method that can recognize patterns in large datasets (e.g. millions of images from the internet) and then m..."
2022,"Reading the Reader","Health","Programmes and collaborations","DTU Technical University of Denmark",7.89,"Imagine reading a text that knows you are looking at it – imagine reading a text that adapts to how you read it and supports you as you read. How we read today has changed little since the invention of printing. However, new technologies can make it possible to identify individual reading pattern..."
2022,"GolgiNet: Data science to take glycomics in silico and beyond","Natural Sciences","Investigators","KU University of Copenhagen",10,"Complex sugars make up the “third language of life” after genes and proteins. This language (the glycocode) describes myriad ways that organisms have fine-tuned proteins and cellular functions to allow complex life to thrive. We know how 100s of enzymes generate sugars in cells, but we do not kno..."
2022,"Cognitive spaces - Next generation explainability","Natural Sciences","Investigators","DTU Technical University of Denmark",9.89,"This proposal concerns machine learning explainability methods. The overall purpose of the project is to understand and push the limits to deep learning interactivity by theoretical and experimental analysis, design of new training schemes and by enabling knowledge aware model visualization. The ..."
2022,"Tenure track assistant professor Quentin Geissmann - Machine-learing and data-science in agriculture and biology","Agriculture & Vet","Investigators","AU Aarhus University",2.82,"The Center for Quantitative Genetics and Genomics (QGG), Aarhus University, aims to expand its expertise in machine learning and digital tools in agriculture to facilitate the green and digital transition. This project will allow QGG to recruit Dr Quentin Geissmann, a world-class young scientist ..."
2022,"CAZyme specificity prediction using AI (CAZAI)","Health","Programmes and collaborations","DTU Technical University of Denmark",15,"Genome/metagenome sequencing provides billions of sequences, but the number of experimentally characterized carbohydrate-active enzymes, CAZymes, is orders of magnitude lower. 3D structures can be predicted from protein sequences, yet current machine learning and artificial intelligence methods l..."
2022,"A high-performance data-driven agroecosystem modelling platform for developing agricultural systems with minimum environmental impact (AgroEco- HPM)","Health","Infrastructure","KU University of Copenhagen",14.85,"The agricultural sector faces huge challenges, combining effective agricultural production with carbon sequestration and minimal losses of N as gas or leaching, and pesticides in a changing climate. Carbon and nitrogen-cycles are closely knitted, so tools for analyses of problems and solutions mu..."
2022,"Multiscale label-free 3D x-ray imaging: Visualizing cells and tissue architecture simultaneously (Xtreme-CT)","Other","Programmes and collaborations","DTU Technical University of Denmark",15,"Biology makes tissues with hierarchical structure comprised of cells, that in turn are composed of organelles and – at the finest length scale – molecules. Life itself, as well as many diseases, depend on intricate interactions between these structural levels. Yet, it has proven exceedingly diffi..."
2022,"DESIRE: Data Science Research Infrastructure In Radiotherapy","Health","Infrastructure","AU Aarhus University",15,"Radiotherapy is relevant for 50% of all cancer patients. The wealth of information that is available in the medical images in radiotherapy has until now only been sparsely used and not been quantified in a way useable for data science. The Data Science Infrastructure in Radiotherapy (DESIRE) proj..."
2022,"A high-performance computing infrastructure for data-driven research on sustainable energy materials","Health","Infrastructure","DTU Technical University of Denmark",11,"A sustainable future society based on solar and wind energy is only possible if we find efficient ways to transform and store the energy from these intermittent sources. This calls for the development of novel materials including battery materials with higher energy density, and catalysts enablin..."
2022,"Development of an artificial intelligence-based methodology for hemoglobinopathy screening in low-income countries (AI-HEMO)","Other","Programmes and collaborations","AAU Aalborg University",4.95,"Hemoglobinopathies are a set of inherited diseases characterized by unusual production or arrangement of the hemoglobin molecule. According to WHO, it affects approximately 5% of the world's population, resulting in 300,000-400,000 children born yearly with a severe hemoglobin disorder, prevalent..."
2022,"Development of fly based tools for screening substances affecting endocrinologic and metabolic functions","Health","Projects","Uppsala University",1.44,"Developing drugs able to regulate neuroendocrine signaling is a lengthy, complex, ethically concerning and very costly process using rodent models. What is needed are faster, more cost effective and intelligent ways of screening for new drugs, otherwise known as high-throughput. Our primary model..."
2022,"Optimizing codon sequence for increased production of recombinant proteins","Engineering & Tech","Projects","Lund University",1.88,"The blueprint for how to make a protein in a cell is found in the genetic code. Amino acids are encoded with three DNA bases, forming a codon. This codon sequence is then translated into an RNA sequence that is read by the protein synthesis machinery of the cell. The choice of codons can have a s..."
2022,"Data-Driven Modelling of Oxide Catalysis","Natural Sciences","Projects","AU Aarhus University",2.64,"For sustainable and economically viable production of fuels and chemicals, it is essential to find less costly or more efficient catalyst materials than those currently used. This project will investigate conversion of CO2 over metal oxides, which entails various challenges related to the high nu..."
2022,"MOTH: Machine Learning on Tiny Hardware","Natural Sciences","Projects","ITU IT University of Copenhagen",2.7,"Today real-world applications such as speech recognition in virtual assistants (e.g., mobile phones) or image recognition at satellites are powered by machine learning models. Training one such model in the cloud, however, can cost almost 1 million DKK even without the electricity cost and carbon..."
2022,"A climate-informed framework for the design of future crops.","Engineering & Tech","Projects","Swedish University of Agricultural Sciences",3,"The currently cultivated cereals lack the molecular diversity needed to increase productivity and adapt to climate changes, posing a significant threat to food security. This project will use spring barley as a cereal model to test new approaches to improve modern cultivars and facilitate their a..."
2022,"Development of Sustainable Biofertilizer Production via High Throughput Protein Engineering in Cyanobacteria","Engineering & Tech","Fellowships","Uppsala University",2.4,"Nitrogen is one of the most important elements in all living cells because it is a key component of protein. However, not all living cells can take nitrogen in the form of N2, only some specific microorganisms are capable of converting nitrogen gas into various chemical forms. Therefore, nitrogen..."
